Date,Close,High,Low,Open,Volume
2018-09-04,70230.03125,72772.21544619989,70053.14489623997,72475.58956802243,8961
2018-09-05,69561.0625,70497.1182959334,69213.71657153162,70497.1182959334,7748
2018-09-06,70033.9375,70185.95832103965,69311.6068610052,70003.63375604988,4867
2018-09-07,70450.578125,71190.21167182917,69837.64399785847,70083.79713209615,4849
2018-09-10,69713.5,70745.30990504865,69657.63546623361,70696.81466956947,4334
2018-09-11,68984.8515625,70300.29478643984,68817.21157444452,69713.51620508007,3404
2018-09-12,68365.6875,69172.11588807119,67434.0351055012,69074.27570144409,8913
2018-09-14,69454.25,69917.58113889917,68718.32433015581,68718.32433015581,6967
2018-09-17,68997.4375,69410.4426109147,68866.72902205537,69410.4426109147,2670
2018-09-18,67958.328125,69330.36964162893,67730.4205649607,68997.45342611328,4569
2018-09-19,67021.03125,68471.09143887354,66632.0574071246,68317.8810883703,11985
2018-09-21,65993.7265625,67729.58293667668,61797.06472324515,67428.01326082725,10416
2018-09-24,63841.796875,66246.49026157273,63725.124033480206,66246.44391378082,7655
2018-09-25,65040.8046875,66345.31732653613,62415.024683123585,63949.56913157044,17921
2018-09-26,65572.6640625,66234.58786722322,65059.949269470475,66234.58786722322,4318
2018-09-27,63480.75390625,67432.9459057078,63230.79640761435,66261.27375177432,12368
2018-09-28,62883.2578125,64998.04984686947,61599.31183327745,63774.568430921274,11536
2018-10-01,62316.796875,63379.06516977277,61450.99688457688,63379.06516977277,12283
2018-10-03,62428.68359375,62938.088406909555,61851.49898465185,62367.577881085774,10722
2018-10-04,60910.94140625,61994.76143687117,60709.43277710962,61994.76143687117,13688
2018-10-05,60335.890625,60709.44233089354,59820.55326484348,60709.44233089354,9200
2018-10-08,60433.47265625,61056.487476409144,58930.66849251771,60028.18434001515,12830
2018-10-09,61300.0078125,61994.80366742277,59977.74785432002,61202.81263492507,4980
2018-10-10,63260.0234375,63576.81835604585,60829.073749335876,60829.073749335876,6132
2018-10-11,62714.125,63546.80171558756,61015.00333966592,62281.5456032478,6805
2018-10-12,63258.7890625,64229.34672090268,62904.46786870901,62904.46786870901,11121
2018-10-15,61896.52734375,63853.51655291607,61302.68079742145,62909.60126418355,12243
2018-10-16,62501.98046875,63260.40407563349,62155.12521442173,62283.36954229563,6090
2018-10-17,61403.390625,63540.974141584695,61203.809291616075,63033.00229952383,6380
2018-10-19,61270.8984375,61984.924863383676,60215.05701355983,61268.07894655558,7567
2018-10-22,61507.3125,62044.20542124027,61301.7020699368,62044.20542124027,4196
2018-10-23,61029.4375,61477.69018028569,60611.54262414869,60907.17974662011,5082
2018-10-24,61648.75,61994.813552526066,61110.02637909107,61737.73777064956,3986
2018-10-25,60672.359375,61777.29091464657,60116.18578121817,61302.68944795274,7477
2018-10-26,62346.9453125,62708.18770442316,59983.67927716208,60610.548572347536,10200
2018-10-29,63213.19921875,63626.25075336098,61821.7766643962,62489.18488908181,5004
2018-10-30,63585.87109375,64170.07741900058,62689.12222499361,62689.12222499361,6896
2018-10-31,63773.125,64170.0590535313,62967.73560500905,63618.33497106797,4183
2018-11-01,64013.890625,64615.00217962328,63772.63491678534,63773.1292932366,4418
2018-11-02,65733.09375,65926.64216858704,64281.210248422445,64318.38890976741,6742
2018-11-05,65409.76171875,66048.69696396394,65168.70683974347,65949.82166910771,3810
2018-11-06,64427.83203125,65858.26011724182,64170.06491583099,65455.44372000018,4248
2018-11-07,64827.54296875,65191.59718223322,64443.953159224024,64931.40837973889,1058
2018-11-09,65598.9140625,65754.04785347637,63787.56502868785,64318.4790083625,10673
2018-11-12,64469.80078125,66231.65799261091,64328.75672789118,65598.80980182969,4542
2018-11-13,65081.83203125,65445.546285059114,64073.2076412003,64469.79406251678,4985
