Date,Close,High,Low,Open,Volume
2016-04-18,119.81599426269531,120.32336790129047,117.39587078725305,117.83589697436027,5235820
2016-04-20,122.27202606201172,122.74796630005577,120.16171466507608,120.92950298079904,8518530
2016-04-21,121.19441986083984,123.2059366320607,120.93399147014621,122.30793415849986,8947070
2016-04-22,120.6286849975586,122.48754316330334,120.42214824634952,121.67934634383721,6094560
2016-04-25,120.79933166503906,121.61202304345525,119.00332619628561,120.52095300977176,4835570
2016-04-26,122.8422622680664,123.10717138699064,120.68706153982353,120.87115371448589,7730520
2016-04-27,122.36180877685547,123.1520553168111,121.41891716728014,122.12833307297309,4896120
2016-04-28,122.88717651367188,123.58312310218258,121.54914760204589,122.84676803780027,10075590
2016-04-29,123.313720703125,123.92435587956714,121.43688489950648,122.12835072189226,7211960
2016-05-02,122.55940246582031,123.56517478947454,122.18224298286255,123.02636769814428,5170700
2016-05-03,121.84098815917969,123.39454254802865,121.50873157659038,122.58185127809416,5316260
2016-05-04,118.68901062011719,121.1405540595336,118.17715622619723,120.781358474412,5443950
2016-05-05,118.5273666381836,119.83844274457577,117.59343627239402,118.99431811864629,6319030
2016-05-06,118.54532623291016,119.19188924440945,117.55753152821019,118.01101355392903,5152340
2016-05-09,119.08861541748047,120.3323440405465,118.0873376218796,119.12452949110917,4928320
2016-05-10,115.64476776123047,118.98533835695613,114.54022845693729,118.53633708013743,6697670
2016-05-11,115.96357727050781,116.78973813542788,113.46713763573506,114.04634638037545,6035740
2016-05-12,115.18679809570312,116.45746575398393,114.64350350459743,115.74355532658389,4380890
2016-05-13,113.92959594726562,115.21373998010347,113.41773472305566,114.67942731993712,4275910
2016-05-16,116.34520721435547,116.68645256528481,112.56911173005246,113.81284031854442,3966320
2016-05-17,115.84233093261719,117.45873829076795,115.21373187734514,116.74033349798631,4564720
2016-05-18,117.57547760009766,118.61716393798744,114.94433647513911,115.39333778949512,10606800
2016-05-19,118.55431365966797,120.68257555485062,117.84040319739067,118.94044822190237,10040170
2016-05-20,117.18934631347656,119.46129193125199,116.83015073295255,118.35675250382923,3264840
2016-05-23,118.4061279296875,119.25474695628208,116.201529922069,118.07836575316902,6613580
2016-05-24,118.5498046875,118.97636137467569,117.54852692322154,118.53633519750663,5942150
2016-05-25,116.77177429199219,120.0225394002913,116.48440687565747,118.8955417244045,4941780
2016-05-26,118.44205474853516,118.98534247561075,116.83014175325174,117.36893508262548,7608940
2016-05-27,123.53372192382812,123.92435083733942,117.91671163696634,118.80573908671819,8752840
2016-05-30,123.20146179199219,125.09175325198565,121.93078055815869,123.74474947763353,5173060
2016-05-31,124.74602508544922,125.98976745536297,122.28101233450168,123.11616187733478,10605470
2016-06-01,123.45740509033203,126.16937703117097,123.06228171720447,125.36118009699808,6472140
2016-06-02,123.86148834228516,124.72807123925719,121.95772727191044,123.06226660024748,5151900
2016-06-03,123.04879760742188,124.7909247988366,122.33488720314394,123.85700814801662,4475050
2016-06-06,122.97696685791016,123.82557214978618,121.2887176644293,123.02635042142312,6043950
2016-06-07,123.66841888427734,124.54847125614147,122.13284218472693,123.47984602061474,6253490
2016-06-08,125.28031158447266,125.70686821120987,123.06224453029789,124.09495552571401,6143090
2016-06-09,127.19756317138672,127.48941123243817,124.46314730588851,125.19052711117776,8053350
2016-06-10,127.39962768554688,128.72868143276787,126.16936847734338,127.18411582567624,9526200
2016-06-13,125.7427978515625,126.4387580286199,124.64275298191346,125.09175424359006,5986620
2016-06-14,126.27263641357422,126.70816820846692,124.91216306704248,125.09176084069856,5847770
2016-06-15,125.73384094238281,126.96410019251448,125.28483961577324,126.64531308730294,4008120
2016-06-16,126.37142944335938,126.64980807476357,123.92436672097556,125.89996982676536,6516040
2016-06-17,125.27587127685547,127.28738855896805,124.83135062188944,126.80696752744115,4379330
2016-06-20,125.92239379882812,126.30403386227302,124.28352843374617,124.36435906473358,6435910
2016-06-21,125.78324127197266,126.39387651384129,125.01095842332893,125.89997230207496,4076180
2016-06-22,124.93910217285156,126.14242233022507,124.40478954654917,126.14242233022507,3550710
2016-06-23,125.84159088134766,126.20977524021245,124.06804394718509,125.15461943245718,5073760
2016-06-24,124.21170806884766,125.21297205206285,119.44330344919935,124.1219023409903,6144190
2016-06-27,124.46316528320312,125.27136213860837,123.69088250256675,124.63377426639546,6207850
2016-06-28,128.10006713867188,128.64784928016547,124.24314756388648,124.62480141452613,6105900
2016-06-29,129.72543334960938,130.03075087847745,128.1673986301074,128.23474606994165,5371410
2016-06-30,131.49899291992188,132.45536776771837,129.31235904102675,130.74916851134375,6928580
2016-07-01,131.4047393798828,133.35340363380868,130.9018600501515,132.46437601004035,6323940
2016-07-04,133.01141357421875,133.38149477971479,130.8812085259105,132.1448836507434,3835820
2016-07-05,133.701904296875,134.396932398443,132.25769256403677,133.13776124077006,4060940
2016-07-07,132.07716369628906,134.0403841992668,131.68452235029815,132.69546225473664,6195050
2016-07-08,133.3137969970703,133.67936064086174,131.82896843305014,132.50594018422325,4296860
2016-07-11,136.18414306640625,136.4413956231264,134.13968904204697,134.31119074652707,4288130
2016-07-12,139.12220764160156,139.90749043863102,136.02618311056722,136.29697455634377,5804840
2016-07-13,140.5347900390625,141.25688202165614,139.36587368591682,139.5012762624194,6177570
2016-07-14,142.17758178710938,142.92676538026237,139.45615637384174,140.53480445328597,6235960
2016-07-15,147.6746063232422,149.22712922765174,142.16857796167216,142.61537488701987,12637690
2016-07-18,144.96670532226562,149.51596252465603,144.42061871419912,147.37221896561715,9572640
2016-07-19,146.96603393554688,147.52565940743997,144.7184831718416,145.72491928396119,6883550
2016-07-20,146.1807403564453,147.6610511281679,145.88287118144328,147.21877180382032,4359050
2016-07-21,145.5263671875,147.11498928180058,144.98478427399778,146.5869452524846,4471900
2016-07-22,145.5940399169922,146.65011404525848,143.52701208567453,144.87193406424794,4085430
2016-07-25,146.98861694335938,147.39931478088639,144.87195088927223,145.32326537802385,4133130
2016-07-26,149.7777557373047,150.90152454617456,146.94801850048785,146.94801850048785,6885160
2016-07-27,156.9942626953125,158.98005760652939,150.37800393639623,150.9150693183354,26450020
2016-07-28,152.03431701660156,157.59903264645544,151.73194400732547,156.84984890592654,13103790
2016-07-29,151.2084197998047,153.8982504676602,150.28773432765644,152.90535301994876,5954060
2016-08-01,152.51271057128906,153.6680746265051,148.32451242787445,152.0929913783528,8365210
2016-08-02,151.1813201904297,153.62743680901335,149.94020544659907,152.81507630407927,6636220
2016-08-03,152.18324279785156,154.5752039482794,151.1948630196688,153.17612635501857,7183340
2016-08-04,154.34051513671875,154.90465817936172,152.18323269257303,152.6345471266874,8495300
2016-08-05,156.84982299804688,157.2379468020896,154.9904097247686,155.43268905746623,7304910
2016-08-08,155.98329162597656,158.5828671590279,155.4688003359905,157.53129682064113,5382190
2016-08-09,154.35858154296875,157.03939079584723,153.04977223730359,156.4256096820831,5382460
2016-08-10,154.2908935546875,155.24767813840128,151.89441454281106,154.34956664627816,5905460
2016-08-11,154.40821838378906,155.06713363885822,152.18324140179868,154.8008597602551,4844530
2016-08-12,155.97879028320312,156.42560098251735,154.22318412403763,154.36760806266494,4220640
2016-08-16,157.77952575683594,158.3346336849293,154.83694689068645,156.33081030882832,6328570
2016-08-17,160.0767364501953,160.30691124586767,157.06646276263322,157.82468156807596,6599060
2016-08-18,161.0109405517578,161.87745654498994,159.81044251446738,160.46484017454998,3484940
2016-08-19,161.39907836914062,162.3829406070652,159.94584522651758,161.27271086860927,5147050
2016-08-22,159.57125854492188,161.90454661387528,158.9710025941449,161.1192638528845,3356030
2016-08-23,158.72279357910156,160.27079896929337,156.73249503184422,158.86269996870928,3061860
2016-08-24,158.8311309814453,159.1831557899532,157.64868902909907,158.65962924368014,2234420
2016-08-25,157.54486083984375,159.94585730426718,156.97621393102548,159.04322829716293,7090170
2016-08-26,158.5061492919922,158.90782577662983,156.33984537062622,157.5087481814448,3270200
2016-08-29,160.04965209960938,160.3971592819174,157.86979550478992,158.32110997309752,2468480
2016-08-30,160.77175903320312,161.8187981388841,160.12636887189106,160.22565860647563,2542450
2016-08-31,158.2398681640625,161.39004794171925,157.61705202760962,160.48741905364813,5023170
2016-09-01,160.0135498046875,160.48743829154492,156.88594363813544,158.1541362760538,3057050
2016-09-02,160.43325805664062,161.3719860081132,158.88073532022486,160.03609915574032,2213810
2016-09-06,168.11917114257812,169.3332082663195,160.7582326469563,160.84848728439732,6706010
2016-09-07,167.1262664794922,169.16169922201678,166.08373111698575,169.16169922201678,4570550
2016-09-08,166.8780517578125,170.23131514369112,166.31390864014685,168.25003790339716,3791930
2016-09-09,164.62144470214844,167.88443899447424,163.3893514337256,167.88443899447424,3470300
2016-09-12,157.5132598876953,162.47320126333904,156.75955869948208,162.47320126333904,5935480
2016-09-14,157.99163818359375,159.30044721276502,155.70347082850162,157.9600428694944,5218050
2016-09-15,158.29855346679688,159.58028493405016,156.29019852657552,158.4113820865166,5740980
