Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
1996-05-14,0.8068622946739197,0.8138815127000715,0.7951245239038328,0.81087348212828,1536000
1996-05-15,0.7961863279342651,0.8124662414136736,0.7880460831793908,0.8068622582462467,1894400
1996-05-16,0.804326057434082,0.8175388263622145,0.8033825916695068,0.7961863880945103,972800
1996-05-17,0.7919979691505432,0.8144714296104032,0.7821472037209644,0.8043258806967796,1177600
1996-05-20,0.7811445593833923,0.7904052539171444,0.7803780071106512,0.7919979775948669,870400
1996-05-21,0.7859816551208496,0.7927652769792437,0.7768386847990538,0.7811447279570118,2355200
1996-05-22,0.7839169502258301,0.7904052833482238,0.7839169502258301,0.7859815147697636,1024000
1996-05-23,0.7784315347671509,0.7812631563407266,0.7733590108233156,0.7839171445312477,460800
1996-05-24,0.7797881364822388,0.7809677747605875,0.7679911776683401,0.778431512860047,819200
1996-05-27,0.7647468447685242,0.7727095270546466,0.7647468447685242,0.7797879308889087,614400
1996-05-28,0.7715301513671875,0.7727097897355366,0.7550146381798448,0.7647471047425181,921600
1996-05-29,0.7818523645401001,0.7818523645401001,0.7741844663158469,0.7715298310653445,512000
1996-05-30,0.7670470476150513,0.772709714452749,0.7612074674410505,0.7818526129538067,563200
1996-05-31,0.7632719278335571,0.7668114181393392,0.7620922897417365,0.7670469425364792,409600
1996-06-03,0.7862175107002258,0.7868662647220864,0.7768384428445626,0.7632717793836417,819200
1996-06-04,0.7912309169769287,0.7912309169769287,0.7845070597589691,0.7862175816161776,460800
1996-06-05,0.7886362075805664,0.7951245417663187,0.7880461364610334,0.7921751222180196,460800
1996-06-06,0.8045622706413269,0.8045622706413269,0.7963042266396624,0.7963042266396624,512000
1996-06-07,0.8161230087280273,0.8163591811832998,0.802320744823679,0.8042668634581617,1331200
1996-06-10,0.830574631690979,0.8410741537794258,0.8281561680620504,0.8410741537794258,819200
