Date,Close,High,Low,Open,Volume
2016-04-18,250.0758819580078,251.04141463528495,246.351624353691,249.08733768986377,4117068
2016-04-20,252.38629150390625,252.88056367275928,249.09886101391098,251.01844877102522,3821352
2016-04-21,250.84605407714844,254.06453428473117,250.35178186125702,251.73113052164962,8191728
2016-04-22,251.07594299316406,253.07598730543234,249.47818063987384,250.46672506170577,7809320
2016-04-25,251.3288116455078,252.88057883380617,249.31726158660254,252.88057883380617,5561960
2016-04-26,256.0646057128906,256.32898651335904,251.15642848954684,251.7311571588593,7053796
2016-04-27,258.4439697265625,258.62789412088415,254.94963073783157,255.1450328674717,5763636
2016-04-28,256.0875549316406,261.317585121566,255.25995137131326,258.44394216006856,8089584
2016-04-29,260.31756591796875,261.15667528476877,254.30589916216587,256.05309655278717,5611940
2016-05-02,256.9382019042969,259.77735588926305,256.55887537382085,259.26010009213843,3862716
2016-05-03,257.0186462402344,260.92680096839536,255.90367829801983,257.91522852574974,4695296
2016-05-04,259.16815185546875,260.8118815341348,256.15657910921965,256.9037264119838,5292328
2016-05-05,260.30609130859375,260.8693141169896,258.0991110124562,259.31754688166046,5214248
2016-05-06,257.39794921875,260.29457566925527,256.8462041655778,260.2371028108606,2733152
2016-05-09,262.3981018066406,263.21419960134745,257.248527808962,257.47841925472517,6953180
2016-05-10,263.2027587890625,263.80047101931,261.17970255738294,262.8809051072601,5453000
2016-05-11,261.8003845214844,263.2257002320708,259.7083499557668,260.8578071620204,6147372
2016-05-12,264.1682434082031,264.83493418496795,260.3520511844411,262.99580269757234,4221688
2016-05-13,262.2831726074219,263.9153963625851,259.7773500781543,263.9153963625851,5045316
2016-05-16,267.31781005859375,268.0304679963906,260.36359315567745,263.2257307054274,4518768
2016-05-17,265.168212890625,268.8005080821779,264.67396885185906,267.83497546817716,4295424
2016-05-18,262.22564697265625,264.6050174948003,260.12213492212555,264.6050174948003,4162644
2016-05-19,261.9153137207031,262.6969221213163,260.23709508026553,262.09921002435163,3855796
2016-05-20,262.2831726074219,264.03034209270817,260.604953722456,262.0647588824346,2016632
2016-05-23,261.32916259765625,264.36371917216786,260.5130365475708,262.52458717236027,3463532
2016-05-24,262.06475830078125,262.9153735395575,261.0532583282811,261.708443375944,3259468
2016-05-25,269.7316589355469,270.3408488489972,263.5245895686499,263.5245895686499,5767348
2016-05-26,272.0191345214844,273.31802719094435,268.11097877513726,270.37540458028786,13705560
2016-05-27,272.835205078125,273.5708465495595,270.51327880413044,272.01907914266076,5775184
2016-05-30,271.2144775390625,274.72032266088553,270.8351509788704,272.88119079369966,3814532
2016-05-31,271.7087097167969,272.62827551459435,270.6741981942747,272.62827551459435,5515640
2016-06-01,270.1568908691406,271.95002699484365,269.20283592343856,271.95002699484365,5675632
2016-06-02,270.1109924316406,271.4098849506141,269.2029322797784,270.05351955967654,7910616
2016-06-03,269.3753356933594,272.4213977355501,268.7546399363468,271.2949238960419,4524420
2016-06-06,269.22589111328125,271.8236759128697,268.98452191093423,270.3523649130034,5547308
2016-06-07,269.8236083984375,271.2719358915023,268.43278183607003,270.5707556794946,5628504
2016-06-08,267.27178955078125,270.8121234323451,266.90396884970517,270.3063734762306,4742812
2016-06-09,266.5361022949219,267.6395642083154,264.9498459775706,267.2487600424519,4648184
2016-06-10,266.9844055175781,269.59366762474065,265.8004590453738,266.30623702704054,6322312
2016-06-13,265.0418701171875,267.81204537526236,264.61657652833776,265.46716370603724,3323236
2016-06-14,264.80047607421875,265.98442272138857,263.05330656780365,265.52463979533604,3828768
